project_id,tag_name
14,New Caledonia
49,Burundi
299,Belarus
493,China
5,Barbados
82,Brazil
361,Peru
198,Grenada
484,Saint Pierre and Miquelon
245,Cote d'Ivoire
34,Philippines
413,French Guiana
494,United States Virgin Islands
254,Christmas Island
90,Saint Martin
148,Pitcairn Islands
117,Lao People's Democratic Republic
215,Mali
356,South Africa
193,Greece
206,Germany
9,Cape Verde
131,United Arab Emirates
340,Barbados
77,Venezuela
67,Czech Republic
266,Martinique
336,Saint Martin
75,Belgium
51,Nigeria
490,Brunei Darussalam
48,Netherlands Antilles
155,Guadeloupe
321,Antarctica (the territory South of 60 deg S)
174,French Guiana
363,Mozambique
4,Sweden
414,Lesotho
88,Djibouti
308,Portugal
258,Togo
79,Haiti
100,Zimbabwe
126,Vanuatu
394,Venezuela
173,French Guiana
122,Qatar
457,Western Sahara
448,Israel
261,Cambodia
488,Hungary
41,Hong Kong
116,India
149,Albania
161,Qatar
180,Dominica
490,Niue
480,Bouvet Island (Bouvetoya)
422,Bangladesh
317,Syrian Arab Republic
270,Oman
443,Ukraine
219,Korea
110,South Georgia and the South Sandwich Islands
114,Nigeria
249,United Arab Emirates
286,Israel
386,Christmas Island
487,Gibraltar
421,Israel
493,Costa Rica
320,Central African Republic
346,Antigua and Barbuda
474,Slovenia
94,Thailand
364,Germany
185,Kiribati
299,Slovakia (Slovak Republic)
152,Bouvet Island (Bouvetoya)
146,Madagascar
159,Jamaica
461,United States Minor Outlying Islands
280,Uruguay
10,Serbia
75,El Salvador
137,New Zealand
55,Chad
470,Czech Republic
57,New Caledonia
316,British Virgin Islands
410,Antarctica (the territory South of 60 deg S)
95,Svalbard & Jan Mayen Islands
348,Jordan
168,Andorra
139,Seychelles
43,France
73,Holy See (Vatican City State)
29,Saint Helena
482,Sri Lanka
320,Puerto Rico
